Question,A,B,C,D,Answer,Qtype
 Which of the following bitwise operations will you use to set a particular bit to 1?,"
 OR","
 AND","
 XOR","
 NOR", a,DS
 Which of the following bitwise operations will you use to set a particular bit to 0?,"
 OR","
 AND","
 XOR","
 NAND", b,DS
 Which of the following bitwise operations will you use to toggle a particular bit?,"
 OR","
 AND","
 XOR","
 NOT", c,DS
 Which of the following is not an advantage of bit array?,"
 Exploit bit level parallelism","
 Maximal use of data cache","
 Can be stored and manipulated in the register set for long periods of time","
 Accessing Individual Elements is easy", d,DS
 Which of the following is not a disadvantage of bit array?,"
 Without compression, they might become sparse","
 Accessing individual bits is expensive","
 Compressing bit array to byte/word array, the machine also has to support byte/word addressing","
 Storing and Manipulating in the register set for long periods of time", d,DS
 Which of the following is/are not applications of bit arrays?,"
 Used by the Linux kernel","
 For the allocation of memory pages","
 Bloom filter","
 Implementation of Vectors and Matrices", d,DS
 Which class in Java can be used to represent bit array?,"
 BitSet","
 BitVector","
 BitArray","
 BitStream", a,DS
 Which of the following bitwise operator will you use to invert all the bits in a bit array?,"
 OR","
 NOT","
 XOR","
 NAND", b,DS
 Run-Length encoding is used to compress data in bit arrays.,"
 True","
 False","
",1 What does Hamming weight/population count mean in Bit arrays?, a,DS
"
 Finding the number of 0 bit in a bit array","
 Finding the sum of bits in a bit array","
 Finding the average number of 1’s and 0’s in bit arrays","
",1 Bit fields and Bit arrays are same., a,DS
"
 False","
",1 Which one of the following operations returns the first occurrence of bit 1 in bit arrays?,"
 Find First Zero","
 Find First One", b,DS
 What is a dynamic array?,"
 A variable size data structure","
 An array which is created at runtime","
 The memory to the array is allocated at runtime","
 An array which is reallocated everytime whenever new elements have to be added", a,DS
 What is meant by physical size in a dynamic array?,"
 The size allocated to elements","
 The size extended to add new elements","
 The size of the underlying array at the back-end","
 The size visible to users", c,DS
 The number of items used by the dynamic array contents is its __________,"
 Physical size","
 Capacity","
 Logical size","
 Random size", c,DS
 How will you implement dynamic arrays in Java?,"
 Set","
 Map","
 HashMap","
 List", d,DS
 Which of the following is the correct syntax to declare an ArrayList in Java?,"
 ArrayList al = new ArrayList();","
 ArrayList al = new ArrayList[];","
 ArrayList al() = new ArrayList();","
 ArrayList al[] = new ArrayList[];", a,DS
 Array is divided into two parts in ____________,"
 Hashed Array Tree","
 Geometric Array","
 Bounded-size dynamic array","
 Sparse Array", c,DS
 Which of the following is a disadvantage of dynamic arrays?,"
 Locality of reference","
 Data cache utilization","
 Random access","
 Memory leak", d,DS
 What is the time complexity for inserting/deleting at the beginning of the array?,"
 O(1)","
 O(n)","
 O(logn)","
 O(nlogn)", b,DS
 Dynamic arrays overcome the limit of static arrays.,"
 True","
 False","
", The size of the dynamic array is deallocated if the array size is less than _________% of the backend physical size., a,DS
"
 40","
 10","
 20","
",1 Both Dynamic array and Dynamically memory allocated array are same., a,DS
"
 False","
",1 In which of the following cases dynamic arrays are not preferred?,"
 If the size of the array is unknown","
 If the size of the array changes after few iterations", b,DS
"
 If the array holds less number of elements","
",1 The growth factor of ArrayList in Java is _______,"
 1","
 5", d,DS
"
 0","
","1 In special case, the time complexity of inserting/deleting elements at the end of dynamic array is __________","
 O (n)","
 O (n", b,DS
"
 O (log n)","
 O (1)","
",1 Which of the following arrays are used in the implementation of list data type in python?,"
 Bit array", a,DS
 What are parallel arrays?,"
 Arrays of the same size","
 Arrays allocated one after the other","
 Arrays of the same number of elements","
 Arrays allocated dynamically", c,DS
 Which of the following can be called a parallel array implementation?,"
",,,, a,DS
"
 When a language does not support records, parallel arrays can be used","
 Increased locality of reference","
 Ideal cache behaviour","
 Insertion and Deletion becomes tedious","
", d,DS
"
 Poor locality of reference for non-sequential access","
 Very little direct language support","
 Expensive to shrink or grow","
 Increased Locality of Reference","
", d,DS
"
 Arrays sorted in numerical order","
 Arrays sorted in alphabetical order","
 Elements of the array are placed at equally spaced addresses in the memory","
 All of the mentioned","
", d,DS
"
 Linear Search","
 Jump Search","
 Binary Search","
 Fibonacci Search","
", c,DS
"
 Commercial computing","
 Priority Scheduling","
 Discrete Mathematics","
 Hash Tables","
", d,DS
"
 O(nlogn)","
 O(logn)","
 O(n)","
 O(n",), c,DS
 What is a sparse array?,"
 Data structure for representing arrays of records","
 Data structure that compactly stores bits","
 An array in which most of the elements have the same value","
 An array in which memory is allocated in run time", c,DS
 When do you use a sparse array?,"
 When there are unique elements in the array","
 When the array has more occurrence of zero elements","
 When the data type of elements differ","
 When elements are sorted", b,DS
 What is the difference between a normal(naive) array and a sparse array?,"
 Sparse array can hold more elements than a normal array","
 Sparse array is memory efficient","
 Sparse array is dynamic","
 A naive array is more efficient", b,DS
 Choose the code which performs the store operation in a sparse array.(Linked list implementation),"
",,,, a,DS
"
",,,, Choose the appropriate code that counts the number of non-zero(non-null) elements in the sparse array., b,DS
,,," Suppose the contents of an array A are, A = {1, null, null, null, null, 10};","
What would be the size of the array considering it as a normal array and a sparse array?", a,DS
"
 6 and 2","
 2 and 6","
 2 and 2","
", What is sparsity of a matrix?, b,DS
"
 The fraction of non-zero elements over the total number of elements","
 The fraction of total number of elements over the zero elements","
 The fraction of total number of elements over the non-zero elements","
", How would you store an element in a sparse matrix?, a,DS
,,, What is the functionality of the following piece of code?, Store the element in the specified position, a,DS
"
 Alter the element in the specified position","
 Removes the element from the specified position","
",1 Which of the following is the disadvantage of sparse matrices over normal matrices?,"
 Size", b,DS
 Which of the following is false?,"
 Suffix array is always sorted","
 Suffix array is used in string matching problems","
 Suffix array is always unsorted","
 Suffix array contains all the suffixes of the given string", c,DS
 Suffix array of the string “statistics” is ____________,"
 2 8 7 4 9 0 5 1 6 3","
 2 7 4 9 8 0 5 1 6 3","
 2 4 9 0 5 7 8 1 6 3","
 2 8 7 0 5 1 6 9 4 3", a,DS
 Suffix array can be created by performing __________ traversal of a suffix tree.,"
 breadth-first","
 level order","
 depth-first","
 either breadth-first or level order", c,DS
 Suffix array is space efficient and faster than the suffix tree.,"
 True","
 Fasle","
"," If comparison based sorting algorithm is used construct the suffix array, then what will be time required to construct the suffix array?", b,DS
"
 O(n",),"
 O(n",logn),"
 O(n", c,DS
"
", What will be the suffix array of the string “engineering”?,"
 2 3 8 4 9 1 7 5 0 6 10","
 5 0 6 1 4 9 1 7 0 2 3 8","
 5 0 6 10 2 4 9 1 7 3 8", d,DS
"
", LCP array and ______ is used to construct suffix tree.,"
 Hash tree","
 Hash trie","
 Suffix array", c,DS
"
", What is the time required to locate the occurrences of a pattern P of length m in a string of length n using suffix array?,"
 O(nm)","
 O(n",), d,DS
"
 O(mlogn)","
", Suffix array can be created in O(nlogn) time.,"
 True","
 False", a,DS
 Which of the following is/are advantages suffix array one suffix tree?,"
I. Lesser space requirement","
II. Improved cache locality","
III. Easy construction in linear time","
 Only I", b,DS
 What is the order of a matrix?,"
 number of rows X number of columns","
 number of columns X number of rows","
 number of rows X number of rows","
 number of columns X number of columns", a,DS
 Which of the following property does not hold for matrix multiplication?,"
 Associative","
 Distributive","
 Commutative","
 Additive Inverse", c,DS
 How do you allocate a matrix using a single pointer in C?(r and c are the number of rows and columns respectively),"
 int *arr = malloc(r * c * sizeof(int));","
 int *arr = (int *)malloc(r * c * sizeof(int));","
 int *arr = (int *)malloc(r + c * sizeof(int));","
 int *arr = (int *)malloc(r * c * sizeof(arr));", b,DS
" Select the code snippet which performs matrix multiplication.(a and b are the two given matrices, resultant marix is ","
",,,, a,DS
 Normal of a matrix,"
 Trace of a matrix","
 Square of a matrix","
 Transpose of a matrix","
", b,DS
"
a b c","
d e f","
g h i","
 ihgfedcba","
 abcdefghi", b,DS
"
 adgbehcfi","
"," If column-major order is used, how is the following matrix stored in memory?","
a b c","
d e f", d,DS
"
 ihgfedcba","
 abcdefghi","
 cfibehadg","
 adgbehcfi","
", d,DS
"
 In solving linear equations","
 Image processing","
 Graph theory","
 Sorting numbers","
", d,DS
"
 Internal complexity","
 Searching through a matrix is complex","
 Not space efficient","
 Graph Plotting","
", b,DS
 Which matrix has most of the elements (not all) as Zero?,"
 Identity Matrix","
 Unit Matrix","
 Sparse Matrix","
 Zero Matrix", c,DS
 What is the relation between Sparsity and Density of a matrix?,"
 Sparsity = 1 – Density","
 Sparsity = 1 + Density","
 Sparsity = Density*Total number of elements","
 Sparsity = Density/Total number of elements", a,DS
 Who coined the term Sparse Matrix?,"
 Harry Markowitz","
 James Sylvester","
 Chris Messina","
 Arthur Cayley", a,DS
 Is O(n) the Worst case Time Complexity for addition of two Sparse Matrix?,"
 True","
 False","
", The matrix contains m rows and n columns. The matrix is called Sparse Matrix if ________, a,DS
"
 Total number of Zero elements = m + n","
 Total number of Zero elements = m/n","
 Total number of Zero elements = m-n","
", Which of the following is not the method to represent Sparse Matrix?, a,DS
"
 Linked List","
 Array","
 Heap","
", Is Sparse Matrix also known as Dense Matrix?, d,DS
"
 False","
", Which one of the following is a Special Sparse Matrix?,"
 Band Matrix","
 Skew Matrix", b,DS
"
 Unit matrix","
", In what way the Symmetry Sparse Matrix can be stored efficiently?,"
 Heap","
 Binary tree", a,DS
 What does the number of inversions in an array indicate?,"
 mean value of the elements of array","
 measure of how close or far the array is from being sorted","
 the distribution of values in the array","
 median value of the elements of array", b,DS
 How many inversions does a sorted array have?,"
 0","
 1","
 2","
 cannot be determined", a,DS
 What is the condition for two elements arr[i] and arr[j] to form an inversion?,"
 arr[i]<arr[j] ","
 i < j","
 arr[i] < arr[j] and i < j","
 arr[i] > arr[j] and i < j", d,DS
 Under what condition the number of inversions in an array are maximum?,"
 when the array is sorted","
 when the array is reverse sorted","
 when the array is half sorted","
 depends on the given array", b,DS
 Under what condition the number of inversions in an array are minimum?,"
 when the array is sorted","
 when the array is reverse sorted","
 when the array is half sorted","
 depends on the given array", a,DS
" How many inversions are there in the array arr = {1,5,4,2,3}?","
 0","
 3","
 4","
 5", d,DS
" Which of the following form inversion in the array arr = {1,5,4,2}?","
 (5,4), (5,2)","
 (5,4), (5,2), (4,2)","
 (1,5), (1,4), (1,2)","
 (1,5)", b,DS
 Choose the correct function from the following which determines the number of inversions in an array?,"
",,,, b,DS
 O(n),"
 O(n log n)","
 O(n",),"
 O(log n)", c,DS
 The time complexity of the code that determines the number of inversions in an array using merge sort is lesser than that of the code that uses loops for the same purpose.,"
 true","
 false","
",1 What is the time complexity of the code that uses merge sort for determining the number of inversions in an array?, a,DS
),"
 O(n)","
 O(log n)","
 O(n log n)","
", d,DS
"
 O(n",),"
 O(n)","
 O(log n)","
 O(n log n)", d,DS
1 The time complexity of the code that determines the number of inversions in an array using self balancing BST is lesser than that of the code that uses loops for the same purpose.,"
 true","
 false","
",1 What is the space complexity of the code that uses merge sort for determining the number of inversions in an array?, a,DS
" What will be the resulting array after rotating arr[]={1, 2, 3, 4, 5} by 2?","
 2, 1, 3, 4, 5","
 3, 4, 5, 1, 2","
 4, 5, 1, 2, 3","
 1, 2, 3, 5, 4", b,DS
 What will be the output of the following code?, 5 6 1 2 3 4,"
 6 5 4 3 1 2","
 3 4 5 6 1 2","
 error", a,DS
 What will be the time complexity of the following code?, O(,"
 O(n)","
 O(n",), b,DS
"
", What will be the auxiliary space complexity of the following code?, O(1),"
 O(n)","
 O(", c,DS
"
", What will be the output of the following code?, 4 5 1 2 3,"
 3 4 5 1 2","
 5 4 3 1 2", a,DS
"
", What will be the time complexity of the following code?, O(n*,"
 O(n)","
 O(", a,DS
),"
", What will be the auxiliary space complexity of the following code?, O(1),"
 O(n)", a,DS
"
 O(n*","
", To rotate an array by using the algorithm of rotating its elements one by one is an in place algorithm.,"
 true","
 false", a,DS
 What will be the output of the following code?, 3 2 1 4 5,"
 3 4 5 1 2","
 5 4 3 2 1","
 error", b,DS
 What will be the auxiliary space complexity of the code to rotate an array by using the reversal algorithm (d = number of rotations)?,"
 O(1)","
 O(n)","
 O(","
 O(n*", a,DS
1 Which of the following is the predefined function for array reversal in C++?,"
 rotate()","
 arr_rotate()","
 array_rotate()","
 rot()", a,DS
1 How many arguments are required by the predefined function rotate() in C++?,"
 1","
 2","
 3","
 4", c,DS
1 Predefined function rotate() in C++ is available under which header file?,"
 math","
 stdio","
 stdlib","
 algorithm", d,DS
1 Which of the following algorithm to rotate an array has the maximum time complexity?,"
 rotate elements one by one","
 juggling algorithm","
 reversal algorithm","
 using a temporary array", a,DS
1 What is the time complexity of the juggling algorithm to rotate an array?,"
 O(1)","
 O(n)","
 O(","
 O(n*", b,DS
" What will be the resulting array after reversing arr[]={3,5,4,2}?","
 2,3,5,4","
 4,2,3,5","
 5,4,2,3","
 2,4,5,3", d,DS
 How many swaps are required for reversing an array having n elements where n is an odd number?,"
 (n-1) / 2","
 n/2","
 (n/2) – 1","
 (n+1)/2", a,DS
 How many swaps are required for reversing an array having n elements where n is an even number?,"
 (n-1) / 2","
 n/2","
 (n/2) – 1","
 (n+1)/2", b,DS
 What will be the output of the following code?, 5 1 4 3,"
 3 5 1 4","
 5 3 4 1","
 error", c,DS
 What will be the time complexity of the following code?, O(n),"
 O(log n)","
 O(1)","
 O(n log n)", a,DS
 What will be the auxiliary space requirement of the following code?, O(1),"
 O(n)","
 O(log n)","
 O(n log n)", a,DS
 What will be the output of the following code ?, 1 2 3 4,"
 4 3 2 1","
 1 4 2 3","
 4 1 2 3", b,DS
 What will be the time complexity of the following code?, O(1),"
 O(n)","
 O(log n)","
 O(n log n)", b,DS
 What will be the output of the following code?, 3 2 1 4 5,"
 5 4 3 2 1","
 1 2 5 4 3","
 error", a,DS
 What will be the time complexity of the following code?, O(k),"
 O(n)","
 O(k log k)","
 O(n log n)", a,DS
1 When array reversal and rotation is applied to the same array then the output produced will also be the same every time.,"
 true","
 false","
",1 Which of the following is the predefined function for array reversal in C++ ?, b,DS
"
 arr_reverse()","
 array_reverse()","
 rev()","
",1 Which of the following is the predefined function for array reversal in javascript?, a,DS
"
 arr_reverse()","
 array_reverse()","
 rev()","
",1 Predefined function reverse() in C++ is available under which header file?, a,DS
" What will be the minimum number of jumps required to reach the end of the array arr[] = {1,3,6,3,6,8,5}?","
 1","
 2","
 3","
 not possible to reach the end", c,DS
" What will be the minimum number of jumps required to reach the end of the array arr[] ={0,1,3,6,3,6,8,5}?","
 1","
 2","
 3","
 not possible to reach the end", d,DS
 What will be the output of the following code?,1,"
 2","
 3","
 error", c,DS
 What will be the output of the following code?,1,"
 2","
 3","
 error", c,DS
 What will be the time complexity of the following code?, O(n log n),"
 O(n)","
 O(n",), d,DS
),"
"," What will be the minimum number of jumps required to reach the end of the array arr[] = {1,2,0,0,3,6,8,5}?","
 1","
 2", d,DS
"
 not possible to reach the end","
", It is not possible to find the minimum number of steps to reach the end of an array in linear time.,"
 true","
 false", b,DS
" In how many different ways we can reach the end of the array arr[]={1,3,5,8,9}?","
 1","
 2","
 3","
 4", d,DS
 What will be the output of the following code?,3,"
 4","
 4 4 2 1 0","
 4 2 2 0 1", c,DS
 What will be the worst case time complexity of the following code?, O(n,),"
 O(n)","
 O(n", d,DS
"
 O(n",),"
",1 : It is not possible to reach the end of an array if starting element of the array is 0.,"
 true", a,DS
"
",1 What is the minimum possible time complexity to find the number of steps to reach the end of an array?,"
 O(n)","
 O(n",), a,DS
 What is a skip list?,"
 a linkedlist with size value in nodes","
 a linkedlist that allows faster search within an ordered sequence","
 a linkedlist that allows slower search within an ordered sequence","
 a tree which is in the form of linked list", b,DS
 Consider the 2-level skip list,"
","
How to access 38?","
 travel 20-30-35-38","
 travel 20-30-40-38", a,DS
"
 travel 20-40-38","
", Skip lists are similar to which of the following datastructure?,"
 stack","
 heap", d,DS
"
 balanced binary search tree","
",  What is the time complexity improvement of skip lists from linked lists in insertion and deletion?,"
 O(n) to O(logn) where n is number of elements","
 O(n) to O(1) where n is number of elements", a,DS
"
 O(n) to O(n",) where n is number of elements,"
", To which datastructure are skip lists similar to in terms of time complexities in worst and best cases?,"
 balanced binary search trees", a,DS
"
 binary trees","
 linked lists","
", The nodes in a skip list may have many forward references. their number is determined,"
 probabilistically", a,DS
"
 sequentially","
 orthogonally","
", Are the below statements true about skiplists?,"
   In a sorted set of elements skip lists can implement the below operations", a,DS
"
   ii.find the number of elements in the set whose values fall a given range in O(logn)","
 true","
 false","
", How to maintain multi-level skip list properties when insertions and deletions are done?, a,DS
"
 that cannot be maintained","
 rebalancing of lists","
 reconstruction","
", Is a skip list like balanced tree?, a,DS
"
 false","
", What is indexed skip list?,"
 it stores width of link in place of element","
 it stores index values", a,DS
 The self organizing list improves the efficiency of _______,"
 binary search","
 jump search","
 sublist search","
 linear search", d,DS
 Which of the following is true about the Move-To-Front Method for rearranging nodes?,"
 node with highest access count is moved to head of the list","
 requires extra storage","
 may over-reward infrequently accessed nodes","
 requires a counter for each node", c,DS
 What technique is used in Transpose method?,"
 searched node is swapped with its predecessor","
 node with highest access count is moved to head of the list","
 searched node is swapped with the head of list","
 searched nodes are rearranged based on their proximity to the head node", a,DS
 The worst case running time of a linear search on the self organizing list is ____,"
 O(1)","
 O(logn)","
 O(n)","
 O(n", c,DS
"
", Which of the following data structure is preferred to have lesser search time when the list size is small?,"
 search tree","
 sorted list","
 self organizing list", c,DS
"
"," In _____________ method, whenever a node is accessed, it might move to the head of the list if its number of accesses becomes greater than the records preceding it.","
 least recently used","
 count","
 traspose", b,DS
"
", Symbol tables during compilation of program is efficiently implemented using __________,"
 a singly linked list","
 a doubly linked list","
 a self organizing list", c,DS
"
", Which of the following method performs poorly when elements are accessed in sequential order?,"
 count method","
 move to front method","
 transpose meth", b,DS
"
", The self organizing list improves _____,"
 average access time","
 insertion","
 deletion", a,DS
"
", Which of the following is not the rearranging method used to implement self-organizing lists?,"
 count method","
 move to front method","
 ordering method", d,DS
 What is xor linked list ?,"
 uses of bitwise XOR operation to decrease storage requirements for doubly linked lists","
 uses of bitwise XOR operation to decrease storage requirements for linked lists","
 uses of bitwise operations to decrease storage requirements for doubly linked lists","
 just another form of linked list", a,DS
 What does a xor linked list have ?,"
 every node stores the XOR of addresses of previous and next nodes","
 actuall memory address of next node","
 every node stores the XOR of addresses of previous and next two nodes","
 every node stores xor 0 and the current node address", a,DS
 What does first and last nodes of a xor linked lists contain ? (let address of first and last be A and ,"
 NULL xor A and B xor NULL","
 NULL and NULL","
 A and B","
 NULL xor A and B", a,DS
 Which of the following is an advantage of XOR list?,"
 Almost of debugging tools cannot follow the XOR chain, making debugging difficult","
 You need to remember the address of the previously accessed node in order to calculate the next node’s address","
 In some contexts XOR of pointers is not defined","
 XOR list decreases the space requirement in doubly linked list", d,DS
 Which of the following is not the properties of XOR lists?,"
 X⊕X = 0","
 X⊕0 = X","
 (X⊕Y)⊕Z = X⊕(Y⊕Z)","
 X⊕0 = 1", d,DS
 Which of the following statements are true ?,"
i) practical application of XOR linked lists are in environments with limited space requirements, such as embedded devices.","
ii)xor lists are not suitable because most garbage collectors will fail to work properly with classes or structures that don’t contain literal pointers","
iii)in order to calculate the address of the next node you need to remember the address of the previous node","
iv)xor lists are much efficient than single, doubly linked lists and arrays", b,DS
"
 i, ii, iii","
 i, ii","
 i","
", What’s wrong with this code which returns xor of two nodes address ?, b,DS
"
 type casting at return is missing","
 parameters are wrong","
 total logic is wrong","
"," Given 10,8,6,7,9", c,DS
"
so now reverse 10","
9,7,6,8,10","
now reverse 9","
8,6,7,9,10","
7,6,8,9,10", a,DS
"
at this point 6 is ahead so no more reversing can be done so stop.","
To implement above algorithm which datastructure is better and why ?","
 linked list. because we can swap elements easily","
 arrays. because we can swap elements easily","
 xor linked list. because there is no overhead of pointers and so memory is saved", b,DS
 Free lists are used in,"
 static memory allocation","
 dynamic memory allocation","
 contagious allocations","
 are used for speeding up linked list operations", b,DS
 What are implicit and explicit implementations of freelists?,"
 garbage collection and new or malloc operators respectively","
 new or malloc and garbage collection respectively","
 implicit implementation is not favored","
 explicit implementation is not favored", a,DS
 What datastructures can be used in implementing a free list?,"
 only linked list","
 linked list or sort trees","
 arrays","
 trees", b,DS
 What are different ways of implementing free lists and which is simple among them?,"
 best fit, first fit, worst fit, simple-first fit","
 best fit, first fit, worst fit, simple-best fit","
 best fit, first fit, worst fit, simple-worst fit","
 best fit  simple-best fit", a,DS
 What is buddy memory management of free lists ?,"
 modified version of first fit","
 buddy allocation keeps several‭ ‬free lists,‭ ‬each one holds blocks which are of one particular size","
 modified version of best fit","
 a tree representation of free lists", b,DS
 How does implicit free lists(garbage collection) works in adding memory to free list ?,"
 whichever comes last will be added to free list","
 whichever comes first will be added to free list","
 certain blocks cannot be used if there are no pointers to them and hence they can be freed","
 makes a probabilistic guess", c,DS
 What are the disadvantages in implementing buddy system algorithm for free lists ?,"
 internal fragmentation","
 it takes so much space","
 we no more have the hole lists in order of memory address, so it is difficult to detect if 2 holes remain adjacent in memory and shall be merged into one hole","
 both a and c are correct", d,DS
 Assume there is a free list which contains nodes and is filled with a value if it is already assigned and the value will be the size of requested block else will be 0.,The above code represents what ?,"
 code for first fit","
 code for best fit","
 code for worst fit", a,DS
"
", How are free blocks linked together mostly and in what addressing order?,"
 circular linked list and increasing addressing order","
 linked list and decreasing addressing order","
 linked list and in no addressing order", a,DS
"
", Accessing free list very frequently for wide range of addresses can lead to,"
 paging","
 segmentation fault","
 memory errors", a,DS
 How many children does a binary tree have?,"
 2","
 any number of children","
 0 or 1 or 2","
 0 or 1", c,DS
 What is/are the disadvantages of implementing tree using normal arrays?,"
 difficulty in knowing children nodes of a node","
 difficult in finding the parent of a node","
 have to know the maximum number of nodes possible before creation of trees","
 difficult to implement", c,DS
 What must be the ideal size of array if the height of tree is ‘l’?,"
 2",-1,"
 l-1","
 l", a,DS
"
", What are the children for node ‘w’ of a complete-binary tree in an array representation?,"
 2w and 2w+1","
 2+w and 2-w","
 w+1/2 and w/2", a,DS
"
", What is the parent for a node ‘w’ of a complete binary tree in an array representation when w is not 0?,"
 floor(w-1/2)","
 ceil(w-1/2)","
 w-1/2", a,DS
"
", If the tree is not a complete binary tree then what changes can be made for easy access of children of a node in the array?,"
 every node stores data saying which of its children exist in the array","
 no need of any changes continue with 2w and 2w+1, if node is at i","
 keep a seperate table telling children of a node", a,DS
"
", What must be the missing logic in place of missing lines for finding sum of nodes of binary tree in alternate levels?,,,, a,DS
" Consider a situation of writing a binary tree into a file with memory storage efficiency in mind, is array representation of tree is good?","
 yes because we are overcoming the need of pointers and so space efficiency","
 yes because array values are indexable","
 No it is not efficient in case of sparse trees and remaning cases it is fine","
 No linked list representation of tree is only fine", c,DS
 Why is heap implemented using array representations than tree(linked list) representations though both tree representations and heaps have same complexities?,Then why go with array representation when both are having same values ?,"
 arrays can store trees which are complete and heaps are not complete","
 lists representation takes more memory hence memory efficiency is less and go with arrays and arrays have better caching","
 lists have better caching", b,DS
"
", Can a tree stored in an array using either one of inorder or post order or pre order traversals be again reformed?,"
 Yes just traverse through the array and form the tree","
 No we need one more traversal to form a tree","
 No in case of sparse trees", b,DS
 Advantages of linked list representation of binary trees over arrays?,"
 dynamic size","
 ease of insertion/deletion","
 ease in randomly accessing a node","
 both dynamic size and ease in insertion/deletion", d,DS
 Disadvantages of linked list representation of binary trees over arrays?,"
 Randomly accessing is not possible","
 Extra memory for a pointer is needed with every element in the list","
 Difficulty in deletion","
 Random access is not possible and extra memory with every element", d,DS
 Which of the following traversing algorithm is not used to traverse in a tree?,"
 Post order","
 Pre order","
 Post order","
 Randomized", d,DS
 Level order traversal of a tree is formed with the help of,"
 breadth first search","
 depth first search","
 dijkstra’s algorithm","
 prims algorithm", a,DS
 Identify the reason which doesn’t play a key role to use threaded binary trees?,"
 The storage required by stack and queue is more","
 The pointers in most of nodes of a binary tree are NULL","
 It is Difficult to find a successor node","
 They occupy less size", d,DS
 The following lines talks about deleting a node in a binary tree.(the tree property must not be violated after deletion),"
i) from root search for the node to be deleted","
ii)","
iii) delete the node at","
what must be statement ii) and fill up statement iii)", d,DS
"
 ii)-find node to be deleted. iii)- delete the node at found location","
 ii)-find deepest node,replace with node to be deleted. iii)- delete a node","
 ii)-find deepest node,replace with node to be deleted. iii)- delete the deepest node","
", What may be the psuedo code for finding the size of a tree?, a,DS
"
 find_size(root_node–>left_node) + find_size(root_node–>right_node)","
 find_size(root_node–>right_node) – 1","
 find_size(root_node–>left_node + 1","
", What is missing in this logic of finding a path in the tree for a given sum (i.e checking whether there will be a path from roots to leaf nodes with given sum)?, a,DS
"
 code for having recursive calls to either only left tree or right trees","
 code for having recursive calls to either only left tree","
 code for having recursive calls to either only right trees","
", What must be the missing logic below so as to print mirror of a tree as below as an example?, a,DS
 swapping of left and right nodes is missing,"
 swapping of left with root nodes is missing","
 swapping of right with root nodes is missing","
 nothing is missing","
", c,DS
 What is the maximum number of children that a binary tree node can have?,"
 0","
 1","
 2","
 3", c,DS
 The following given tree is an example for?,"
 ","
 Binary tree","
 Binary search tree","
 Fibonacci tree", a,DS
"
", A binary tree is a rooted tree but not an ordered tree.,"
 true","
 false","
", b,DS
"
 1","
 2","
 3","
 4","
", c,DS
"
 depth-first traversal","
 breadth-first traversal","
 random traversal","
 Priority traversal","
", b,DS
"
 1","
 2","
 3","
 4","
", b,DS
"
 ","
 inserting a leaf node","
 inserting an internal node","
 deleting a node with 0 or 1 child","
 deleting a node with 2 children", c,DS
 General ordered tree can be encoded into binary trees.,"
 true","
 false","
", How many bits would a succinct binary tree occupy?, a,DS
"
 2n+O(n)","
 n/2","
 n","
", The average depth of a binary tree is given as?, b,DS
"
 O(√N)","
 O(N",),"
 O(log N)","
", d,DS
"
 1","
 4","
 2","
 3","
", d,DS
"
 2i+1","
 2i+2","
 2i","
 4i","
", a,DS
"
 (i+1)/2","
 (i-1)/2","
 i/2","
 2i/2","
", b,DS
"
 Left subtrees are visited before right subtrees","
 Right subtrees are visited before left subtrees","
 Root node is visited before left subtree","
 Root node is visited before right subtree","
", a,DS
"
The preorder traversal of a binary tree is 1, 2, 5, 3,  The inorder traversal of the same binary tree is 2, 5, 1, 4, ","
 ","
 ","
 ","
 ", d,DS
" For the tree below, write the pre-order traversal.","
","
 2, 7, 2, 6, 5, 11, 5, 9, 4","
 2, 7, 5, 2, 6, 9, 5, 11, 4","
 2, 5, 11, 6, 7, 4, 9, 5, 2", a,DS
"
"," For the tree below, write the post-order traversal.","
","
 2, 7, 2, 6, 5, 11, 5, 9, 4","
 2, 7, 5, 2, 6, 9, 5, 11, 4", c,DS
"
 2, 7, 5, 6, 11, 2, 5, 4, 9","
", Select the code snippet which performs pre-order traversal.,"
",, a,DS
,,,,, b,DS
,,,, What is the time complexity of pre-order traversal in the iterative fashion?, c,DS
"
 O(n)","
 O(logn)","
 O(nlogn)","
", What is the space complexity of the post-order traversal in the recursive fashion? (d is the tree depth and n is the number of nodes), b,DS
"
 O(nlog","
 O(log","
 O(","
"," To obtain a prefix expression, which of the tree traversals is used?", b,DS
"
 Pre-order traversal","
 Post-order traversal","
 In-order traversal","
"," Consider the following data. The pre order traversal of a binary tree is A, B, E, C, D. The in order traversal of the same binary tree is B, E, A, D, C. The level order sequence for the binary tree is _________", d,DS
"
 A, B, C, D, E","
 A, B, C, E, D","
 D, B, E, A, C","
","1 Consider the following data and specify which one is Preorder Traversal Sequence, Inorder and Postorder sequences.", b,DS
"
S2: N, P, Q, O, M","
S3: M, N, O, P, Q","
 S1 is preorder, S2 is inorder and S3 is postorder","
 S1 is inorder, S2 is preorder and S3 is postorder","
 S1 is inorder, S2 is postorder and S3 is preorder", b,DS
 In postorder traversal of binary tree right subtree is traversed before visiting root.,"
 True","
 False","
"," What is the possible number of binary trees that can be created with 3 nodes, giving the sequence N, M, L when traversed in post-order.", a,DS
"
 3","
 5","
 8","
", The post-order traversal of a binary tree is O P Q R S T. Then possible pre-order traversal will be ________,  c,DS
