id,qno,Question,A,B,C,D,Answer,qtype
1,1,"#include<stdio.h>

int main()
{
    int arr[2][2][2] = {10, 2, 3, 4, 5, 6, 7, 8};
    int *p, *q;
    p = &arr[1][1][1];
    q = (int*) arr;
    printf(""%d, %d\n"", *p, *q);
    return 0;
}
What will be the output of the program assuming that the array begins at the location 1002 and size of an integer is 4 bytes?
","448, 4, 4","520, 2, 2","1006, 2, 2",Error,C,C
1,1,"#include<stdio.h>

int main()
{
    int arr[2][2][2] = {10, 2, 3, 4, 5, 6, 7, 8};
    int *p, *q;
    p = &arr[1][1][1];
    q = (int*) arr;
    printf(""%d, %d\n"", *p, *q);
    return 0;
}
What will be the output of the program assuming that the array begins at the location 1002 and size of an integer is 4 bytes?
","2, 3","2, 0","2, Garbage value","0, 0",B,C
1,1,"#include<stdio.h>

int main()
{
    int arr[2][2][2] = {10, 2, 3, 4, 5, 6, 7, 8};
    int *p, *q;
    p = &arr[1][1][1];
    q = (int*) arr;
    printf(""%d, %d\n"", *p, *q);
    return 0;
}
What will be the output of the program assuming that the array begins at the location 1002 and size of an integer is 4 bytes?
",No output,30,3,300,D,C
1,1,"#include<stdio.h>

int main()
{
    int arr[2][2][2] = {10, 2, 3, 4, 5, 6, 7, 8};
    int *p, *q;
    p = &arr[1][1][1];
    q = (int*) arr;
    printf(""%d, %d\n"", *p, *q);
    return 0;
}
What will be the output of the program assuming that the array begins at the location 1002 and size of an integer is 4 bytes?
",Error: in printf,Nothing will print,"print ""X"" of IndiaBIX","print ""7""",C,C
1,1,"#include<stdio.h>
int main()
{
    int x=55;
    printf(""%d, %d, %d\n"", x<=55, x=40, x>=10);
    return 0;
}
What will be the output of the program?
","3, 4","4, 3","4, 4",Output may vary from compiler to compiler,D,C
1,1,"#include<stdio.h>
int main()
{
    int x=55;
    printf(""%d, %d, %d\n"", x<=55, x=40, x>=10);
    return 0;
}
What will be the output of the program?
",200,30,100,500,B,C
1,1,"#include<stdio.h>
int main()
{
    int x=55;
    printf(""%d, %d, %d\n"", x<=55, x=40, x>=10);
    return 0;
}
What will be the output of the program?
",The letter is a,Now the letter is A,The letter is A,Now the letter is a,A,C
1,1,"#include<stdio.h>
int main()
{
    int x=55;
    printf(""%d, %d, %d\n"", x<=55, x=40, x>=10);
    return 0;
}
What will be the output of the program?
",Error,None of above,4,7,B,C
1,1,"#include<stdio.h>

int main()
{
    int a=250;
    printf(""%1d\n"", a);
    return 0;
}
What will be the output of the program ?
",agpur,gpur,Nagp,agpu,D,C
1,1,"#include<stdio.h>

int main()
{
    int a=250;
    printf(""%1d\n"", a);
    return 0;
}
What will be the output of the program ?
",25,2,1,5,C,C
1,1,"for loop get executed?
",The , loop would get executed 5 times,The , loop would get executed infinite times,B,C
1,1,"#include<stdio.h>
int check(int);
int main()
{
    int i=45, c;
    c = check(i);
    printf(""%d\n"", c);
    return 0;
}
int check(int ch)
{
    if(ch >= 45)
        return 100;
    else
        return 10;
}
If ",ab,cd,ef,gh,B,C
1,1,"#include<stdio.h>
int check(int);
int main()
{
    int i=45, c;
    c = check(i);
    printf(""%d\n"", c);
    return 0;
}
int check(int ch)
{
    if(ch >= 45)
        return 100;
    else
        return 10;
}
If ",Infinite loop,Hi,Hello Hi,Error,C,C
1,1,"#include<stdio.h>
int check(int);
int main()
{
    int i=45, c;
    c = check(i);
    printf(""%d\n"", c);
    return 0;
}
int check(int ch)
{
    if(ch >= 45)
        return 100;
    else
        return 10;
}
If ",5,4,Error,Garbage value,A,C
1,1,"#include<stdio.h>
int check(int);
int main()
{
    int i=45, c;
    c = check(i);
    printf(""%d\n"", c);
    return 0;
}
int check(int ch)
{
    if(ch >= 45)
        return 100;
    else
        return 10;
}
If ",5.000000,3.000000,Garbage value,4.000000,A,C
1,1,"#include<stdio.h>

int main()
{
    int i=1;
    if(!i)
        printf(""IndiaBIX,"");
    else
    {
        i=0;
        printf(""C-Program"");
        main();
    }
    return 0;
}
What will be the output of the program?
", should not inside , statement,12 12,"No error, No output",A,C
1,1,"#include<stdio.h>

int main()
{
    int i=1;
    if(!i)
        printf(""IndiaBIX,"");
    else
    {
        i=0;
        printf(""C-Program"");
        main();
    }
    return 0;
}
What will be the output of the program?
",Error: Compile error,None of above,"3, 4, 4, 3","4, 3, 4, 3",B,C
1,1,"#include<stdio.h>

int main()
{
    int i=1;
    if(!i)
        printf(""IndiaBIX,"");
    else
    {
        i=0;
        printf(""C-Program"");
        main();
    }
    return 0;
}
What will be the output of the program?
","3, 3, 4, 4","3, 4, 3, 4",k=35,k=36,D,C
1,1,"#include<stdio.h>

int main()
{
    int i=1;
    if(!i)
        printf(""IndiaBIX,"");
    else
    {
        i=0;
        printf(""C-Program"");
        main();
    }
    return 0;
}
What will be the output of the program?
",k=37,k=38,"12, 12","7, 7",A,C
1,1,"#include<stdio.h>

int main()
{
    char str[10] = ""India"";
    str[6] = ""BIX"";
    printf(""%s\n"", str);
    return 0;
}
What will be the output of the program ?
",Equal,Unequal,Error,None of above,B,C
1,1,"#include<stdio.h>

int main()
{
    char str[10] = ""India"";
    str[6] = ""BIX"";
    printf(""%s\n"", str);
    return 0;
}
What will be the output of the program ?
",India BIX,BIX India,India India,BIX BIX,B,C
1,1,"#include<stdio.h>

int main()
{
    char str[10] = ""India"";
    str[6] = ""BIX"";
    printf(""%s\n"", str);
    return 0;
}
What will be the output of the program ?
",Error,d,e,abcdefgh,C,C
1,1,"#include<stdio.h>

int main()
{
    char str[10] = ""India"";
    str[6] = ""BIX"";
    printf(""%s\n"", str);
    return 0;
}
What will be the output of the program ?
",1022 Hello2,Hello1 1022,Hello1 Hello2,1022 1022,A,C
1,1,"#include<stdio.h>
void swap(char *, char *);

int main()
{
    char *pstr[2] = {""Hello"", ""IndiaBIX""};
    swap(pstr[0], pstr[1]);
    printf(""%s\n%s"", pstr[0], pstr[1]);
    return 0;
}
void swap(char *t1, char *t2)
{
    char *t;
    t=t1;
    t1=t2;
    t2=t;
}
What will be the output of the program (Turbo C in 16 bit platform DOS) ?
",IndiaBIX,Hello,"Address of ""Hello"" and ""IndiaBIX""",Hello,C,C
1,1,"#include<stdio.h>

int main()
{
    char str[25] = ""IndiaBIX"";
    printf(""%s\n"", &str+2);
    return 0;
}
What will be the output of the program ?
",Garbage value,Error,No output,diaBIX,A,C
1,1,"char=1, int=4, and ","1, 2, 4","1, 4, 4","2, 2, 4","2, 4, 8",B,C
1,1,"#include<stdio.h>
#include<string.h>

int main()
{
    static char str1[] = ""dills"";
    static char str2[20];
    static char str3[] = ""Daffo"";
    int i;
    i = strcmp(strcat(str3, strcpy(str2, str1)), ""Daffodills"");
    printf(""%d\n"", i);
    return 0;
}
What will be the output of the program ?
",0,1,2,4,A,C
1,1,"#include<stdio.h>
int X=40;
int main()
{
    int X=20;
    printf(""%d\n"", X);
    return 0;
}
What is the output of the program
",20,40,Error,No Output,A,C
1,1,"#include<stdio.h>
void swap(char *, char *);

int main()
{
    char *pstr[2] = {""Hello"", ""IndiaBIX""};
    swap(pstr[0], pstr[1]);
    printf(""%s\n%s"", pstr[0], pstr[1]);
    return 0;
}
void swap(char *t1, char *t2)
{
    char *t;
    t=t1;
    t1=t2;
    t2=t;
}
What will be the output of the program (Turbo C in 16 bit platform DOS) ?
",IndiaBIX,Iello,HndiaBIX,IndiaBIX India,B,C
1,1,"#include<stdio.h>
void swap(char *, char *);

int main()
{
    char *pstr[2] = {""Hello"", ""IndiaBIX""};
    swap(pstr[0], pstr[1]);
    printf(""%s\n%s"", pstr[0], pstr[1]);
    return 0;
}
void swap(char *t1, char *t2)
{
    char *t;
    t=t1;
    t1=t2;
    t2=t;
}
What will be the output of the program (Turbo C in 16 bit platform DOS) ?
",IndiaBIX IndiaBIX,India India,Error,"22, 4",C,C
1,1,"#include<stdio.h>
void swap(char *, char *);

int main()
{
    char *pstr[2] = {""Hello"", ""IndiaBIX""};
    swap(pstr[0], pstr[1]);
    printf(""%s\n%s"", pstr[0], pstr[1]);
    return 0;
}
void swap(char *t1, char *t2)
{
    char *t;
    t=t1;
    t1=t2;
    t2=t;
}
What will be the output of the program (Turbo C in 16 bit platform DOS) ?
","25, 5","24, 5","20, 2",The string is not empty,B,C
1,1,"#include<stdio.h>
void swap(char *, char *);

int main()
{
    char *pstr[2] = {""Hello"", ""IndiaBIX""};
    swap(pstr[0], pstr[1]);
    printf(""%s\n%s"", pstr[0], pstr[1]);
    return 0;
}
void swap(char *t1, char *t2)
{
    char *t;
    t=t1;
    t1=t2;
    t2=t;
}
What will be the output of the program (Turbo C in 16 bit platform DOS) ?
",The string is empty,No output,0,Unpredictable integer value,A,C
1,1,"#include<stdio.h>

int main()
{
    char str[25] = ""IndiaBIX"";
    printf(""%s\n"", &str+2);
    return 0;
}
What will be the output of the program ?
",Error,IndiaBIX,Base address of ,No output,A,C
1,1,"#include<stdio.h>

int main()
{
    char str[25] = ""IndiaBIX"";
    printf(""%s\n"", &str+2);
    return 0;
}
What will be the output of the program ?
","Kagpur, Kanpur","Nagpur, Kanpur","Kagpur, anpur",Error,D,C
1,1,"#include<stdio.h>

int main()
{
    char str[25] = ""IndiaBIX"";
    printf(""%s\n"", &str+2);
    return 0;
}
What will be the output of the program ?
",Error,IndiaBIX,BIX,None of above,C,C
1,1,"#include<stdio.h>

int main()
{
    char str[25] = ""IndiaBIX"";
    printf(""%s\n"", &str+2);
    return 0;
}
What will be the output of the program ?
",The sentence will get printed in same order as it entered,The sentence will get printed in reverse order,Half of the sentence will get printed,None of above,B,C
1,1,"char=1, int=4, and ","10, 2","2, 2","10, 4","1, 2",C,C
1,1,"char=1, int=4, and ","11, 4","1, 1","12, 2","2, 2",B,C
1,1,"char=1, int=4, and ","t, t","k, k","n, k","m, f",A,C
1,1,"char=1, int=4, and ",Hello,HelloHello,No output,ello,D,C
1,1,"#include<stdio.h>
#include<string.h>

int main()
{
    static char str1[] = ""dills"";
    static char str2[20];
    static char str3[] = ""Daffo"";
    int i;
    i = strcmp(strcat(str3, strcpy(str2, str1)), ""Daffodills"");
    printf(""%d\n"", i);
    return 0;
}
What will be the output of the program ?
",8,0,16,Error,B,C
1,1,"#include<stdio.h>
#include<string.h>

int main()
{
    static char str1[] = ""dills"";
    static char str2[20];
    static char str3[] = ""Daffo"";
    int i;
    i = strcmp(strcat(str3, strcpy(str2, str1)), ""Daffodills"");
    printf(""%d\n"", i);
    return 0;
}
What will be the output of the program ?
",hhe!,he c,The c,Hhec,A,C
1,1,"#include<stdio.h>
#include<string.h>

int main()
{
    static char str1[] = ""dills"";
    static char str2[20];
    static char str3[] = ""Daffo"";
    int i;
    i = strcmp(strcat(str3, strcpy(str2, str1)), ""Daffodills"");
    printf(""%d\n"", i);
    return 0;
}
What will be the output of the program ?
","8, 1, 4","4, 2, 8","4, 2, 4","10, 3, 4",B,C
1,1,"#include<stdio.h>
#include<string.h>

int main()
{
    static char str1[] = ""dills"";
    static char str2[20];
    static char str3[] = ""Daffo"";
    int i;
    i = strcmp(strcat(str3, strcpy(str2, str1)), ""Daffodills"");
    printf(""%d\n"", i);
    return 0;
}
What will be the output of the program ?
",The string is empty,The string is not empty,No output,0,B,C
1,1,"#include<stdio.h>
int X=40;
int main()
{
    int X=20;
    printf(""%d\n"", X);
    return 0;
}
What is the output of the program
",0,1,Error,None of these,B,C
1,1,"#include<stdio.h>
int X=40;
int main()
{
    int X=20;
    printf(""%d\n"", X);
    return 0;
}
What is the output of the program
",3,3.14,0 ,4,E,C
1,1,"#include<stdio.h>
int X=40;
int main()
{
    int X=20;
    printf(""%d\n"", X);
    return 0;
}
What is the output of the program
",Compile Error,Garbage Values,"2, 3, 3","3, 2, 2",D,C
1,1,"#include<stdio.h>
int X=40;
int main()
{
    int X=20;
    printf(""%d\n"", X);
    return 0;
}
What is the output of the program
","0, 0, 0","3, 2, 515","515, 2, 3","3, 2, 5",A,C
